HospitalName,Latitude,Longitude,Email
Dharmadhikari Hospital,18.5015481,73.9357865,datasciencetestmail@gmail.com
Dinkar Hospital,18.4869268,73.9421209,datasciencetestmail@gmail.com
Pagare Hospital,18.5889738,73.8165592,datasciencetestmail@gmail.com
Shree Hospital,18.5515015,73.9411724,datasciencetestmail@gmail.com
Dr. Babasaheb Ambedkar Cantonment General Hospital,18.5687508,73.8486366,datasciencetestmail@gmail.com
Life Care Multispecality Hospital,18.4879916,73.9389363,datasciencetestmail@gmail.com
Bhakare Super Speciality Hospital,18.448115,73.849133,datasciencetestmail@gmail.com
Kasturba General Hospital,18.5725401,73.8815063,datasciencetestmail@gmail.com
Sudarshan Hospital,18.588825,73.817373,datasciencetestmail@gmail.com
Vinayak Hospital,18.5684211,73.8797365,datasciencetestmail@gmail.com
Vitalife Medipoint Hospital,18.564751,73.802275,datasciencetestmail@gmail.com
Aadhar Hospital,18.4756744,73.931237,datasciencetestmail@gmail.com
Max Neuro Hospital,18.5984676,73.8285109,datasciencetestmail@gmail.com
"Manipal Hospital, Pune",18.5409242,73.935679,datasciencetestmail@gmail.com
Ayodhya Trust General Hospital,18.49253,73.9037686,datasciencetestmail@gmail.com
Chordiya Nursing Home,18.4581135,73.8781846,datasciencetestmail@gmail.com
Anup Hospital,18.498738,73.838315,datasciencetestmail@gmail.com
Apex Superspeciality Hospital,18.5075984,73.8439447,datasciencetestmail@gmail.com
Date Hospital,18.51024,73.8522294,datasciencetestmail@gmail.com
Morya General Hospital,18.5147901,73.8484343,datasciencetestmail@gmail.com
Suman Hospital,18.492348,73.853457,datasciencetestmail@gmail.com
Lifeline Hospital,18.4723283,73.8923643,datasciencetestmail@gmail.com
Sabane Hospital,18.5107027,73.8434338,datasciencetestmail@gmail.com
Kamat Hospital,18.512445,73.869389,datasciencetestmail@gmail.com
Bindu Madhav Thakarey Hospital,18.496127,73.817109,datasciencetestmail@gmail.com
National Hospital,18.4714238,73.8887261,datasciencetestmail@gmail.com
Meenatai Thakre Maternity Home,18.47396,73.889134,datasciencetestmail@gmail.com
Bhagirathi Children's Hospital,18.4947224,73.8229041,datasciencetestmail@gmail.com
Vishranti Hospital,18.5086317,73.8744506,datasciencetestmail@gmail.com
Matru Seva Hospital;Pacharne Hospital,18.516314,73.871996,datasciencetestmail@gmail.com
Shraddha Hospital,18.4909252,73.845933,datasciencetestmail@gmail.com
Purohit Hospital,18.4975587,73.8513176,datasciencetestmail@gmail.com
Prerna Hospital,18.4553105,73.8690108,datasciencetestmail@gmail.com
Bapat Hospital,18.530365,73.842063,datasciencetestmail@gmail.com
Shivneri Hospital,18.449571,73.85723,datasciencetestmail@gmail.com
New Pune Hospital,18.470806,73.888399,datasciencetestmail@gmail.com
Kothari Orthopaedic Hospital,18.4891725,73.8571698,datasciencetestmail@gmail.com
Kalyani Hospital,18.5046645,73.8592129,datasciencetestmail@gmail.com
Kumbhare Hospital,18.5218011,73.8622355,datasciencetestmail@gmail.com
Yogesh Hospital,18.510438,73.847875,datasciencetestmail@gmail.com
Gokhale Hospital,18.502188,73.857108,datasciencetestmail@gmail.com
Sai Samarth Hospital,18.5231039,73.8681573,datasciencetestmail@gmail.com
Dr. Baba Saheb Ambedkar Hospital;dr baba saheb ambedkar hospital,18.4962994,73.8702072,datasciencetestmail@gmail.com
Todkar Hospital,18.5107128,73.8660862,datasciencetestmail@gmail.com
Shaishav Children's Hospital,18.5137927,73.8476204,datasciencetestmail@gmail.com
Suyash Hospital,18.5001862,73.8124022,datasciencetestmail@gmail.com
Moraya Nursing Home,18.4472895,73.8662836,datasciencetestmail@gmail.com
Swanand Maternity Hospital,18.5297435,73.8339823,datasciencetestmail@gmail.com
City Hospital,18.5071504,73.7997343,datasciencetestmail@gmail.com
Parasnis Hospital,18.474694,73.858715,datasciencetestmail@gmail.com
Shintre Hospital,18.5122403,73.8499324,datasciencetestmail@gmail.com
Alliance Munot Hospital;munot hospital,18.5025447,73.8686993,datasciencetestmail@gmail.com
Kalavati Mavale Hospital,18.5150421,73.8464127,datasciencetestmail@gmail.com
Jeevandhara Multispeciality Hospital,18.4491259,73.8577679,datasciencetestmail@gmail.com
ASG Eye Hospital,18.528932,73.8436351,datasciencetestmail@gmail.com
Rode Hospital,18.5091812,73.8149589,datasciencetestmail@gmail.com
Mantri Hospital,18.505204,73.834167,datasciencetestmail@gmail.com
Kering Hospital;kering clinic,18.5029885,73.8682087,datasciencetestmail@gmail.com
Siddhivinayak Hospital,18.4559009,73.8709944,datasciencetestmail@gmail.com
Kirad Hospital,18.5143478,73.868913,datasciencetestmail@gmail.com
Chajed Hospital,18.50451,73.8628189,datasciencetestmail@gmail.com
KEM Hospital,18.5200596,73.8669776,datasciencetestmail@gmail.com
Hope Hospital,18.5126915,73.869516,datasciencetestmail@gmail.com
David Sassoon Hospital,18.525279,73.870499,datasciencetestmail@gmail.com
MJM Hospital,18.5245059,73.8438216,datasciencetestmail@gmail.com
Chavan Hospital,18.502202,73.8584592,datasciencetestmail@gmail.com
dental health care,18.5062067,73.8625971,datasciencetestmail@gmail.com
ARCUS HOSPITAL,18.4889132,73.8990842,datasciencetestmail@gmail.com
Sai Allergy asthma Eye Children Hospital,18.4852917,73.8514295,datasciencetestmail@gmail.com
Sathe Multispeciality Hospital,18.5067869,73.8037337,datasciencetestmail@gmail.com
"Facethetics - Dental, Facial Cosmetics(BOTOX), & Hair Transplant Clinique",18.5136297,73.8285827,datasciencetestmail@gmail.com
,,,datasciencetestmail@gmail.com
Shree Hospital,18.5664237,73.8144112,datasciencetestmail@gmail.com
Karan Hospital,18.5836745,73.8846483,datasciencetestmail@gmail.com
Ordnance Factory Hospital,18.5607785,73.8444489,datasciencetestmail@gmail.com
"Military Hospital ,Pune",18.5526036,73.8381779,datasciencetestmail@gmail.com
Morya Multispeciality Hospital,18.4643898,73.8153134,datasciencetestmail@gmail.com
Matoshri Ramabai Ambedkar Prasutigriha,18.502785,73.8500051,datasciencetestmail@gmail.com
Savitribai Phule Meternity Home,18.5048618,73.8611993,datasciencetestmail@gmail.com
Premchand Oswal Hospital,18.4677248,73.8683031,datasciencetestmail@gmail.com
"Janata Hospital ,Pune",18.4993855,73.8470078,datasciencetestmail@gmail.com
"Government Hospital, Dhankawadi",18.4652208,73.8495579,datasciencetestmail@gmail.com
Vasant More Hospital,18.4533972,73.8698521,datasciencetestmail@gmail.com
Hazrat Maulana Yunus Sahab Rahmatullah Alaih Dawakhana,18.4482157,73.856594,datasciencetestmail@gmail.com
G B Indumati Manilal Khanna Hospital,18.4925761,73.8665946,datasciencetestmail@gmail.com
Varadvinayak Children and Eye Hospital,18.4934295,73.9315228,datasciencetestmail@gmail.com
Rising Medicare Hospital,18.5537402,73.9393307,datasciencetestmail@gmail.com
Late Pruthak Barate Hospital,18.4753187,73.7975854,datasciencetestmail@gmail.com
Apollo Spectra Hospitals,18.5029796,73.8520221,datasciencetestmail@gmail.com
city hospiyal,18.4713114,73.8878684,datasciencetestmail@gmail.com
Om Hospital in Pune,18.4747094,73.8844764,datasciencetestmail@gmail.com
Chellaram Hospital,18.5196786,73.769934,datasciencetestmail@gmail.com
Om Childrens Clinic,18.597536,73.9088733,datasciencetestmail@gmail.com
